gene	gc
ENSG00000158109.15	54.19
ENSG00000116213.16	56.43
ENSG00000078900.15	61.47
ENSG00000162592.10	58.09
ENSG00000235169.11	68.48
ENSG00000130764.10	57.75
ENSG00000116198.14	47.38
ENSG00000169598.17	53.02
ENSG00000198912.12	52.16
ENSG00000196581.11	50.10
ENSG00000131697.18	58.82
ENSG00000069424.15	58.81
ENSG00000116254.18	60.58
ENSG00000285629.1	49.62
ENSG00000116251.11	47.35
ENSG00000158286.13	58.83
ENSG00000116237.16	49.90
ENSG00000173673.8	67.89
ENSG00000158292.7	66.51
ENSG00000097021.20	60.51
ENSG00000069812.11	56.91
ENSG00000187017.17	67.87
ENSG00000215788.11	59.44
ENSG00000171680.23	64.63
ENSG00000162408.11	47.94
ENSG00000173662.21	58.61
ENSG00000204859.13	61.15
ENSG00000162413.16	60.03
ENSG00000116273.6	54.02
ENSG00000041988.15	58.94
ENSG00000007923.16	53.43
ENSG00000171735.19	48.20
ENSG00000049245.13	43.10
ENSG00000049246.15	43.86
ENSG00000049247.14	40.49
ENSG00000049249.9	43.30
ENSG00000116288.13	49.40
ENSG00000116285.13	43.19
ENSG00000162426.16	62.77
ENSG00000142599.19	53.15
ENSG00000074800.16	54.24
ENSG00000131686.15	49.47
ENSG00000197241.4	56.43
ENSG00000142583.18	54.24
ENSG00000180758.12	53.51
ENSG00000049239.13	56.54
ENSG00000171621.14	56.45
ENSG00000171612.7	45.90
ENSG00000188807.13	61.70
ENSG00000171608.16	57.60
ENSG00000171603.18	56.36
ENSG00000178585.15	57.32
ENSG00000162441.12	42.15
ENSG00000173614.14	46.88
ENSG00000162444.12	51.39
ENSG00000130939.20	45.73
ENSG00000054523.19	44.59
ENSG00000142657.21	52.93
ENSG00000251503.8	51.56
ENSG00000175279.22	48.05
ENSG00000241563.4	49.02
ENSG00000160049.12	47.97
ENSG00000142655.13	60.33
ENSG00000130940.15	60.86
ENSG00000175262.14	59.11
ENSG00000120948.19	41.89
ENSG00000009724.17	55.49
ENSG00000116649.10	65.10
ENSG00000171824.14	50.31
ENSG00000198793.13	50.19
ENSG00000171819.5	48.20
ENSG00000120942.14	52.34
ENSG00000204624.8	61.31
ENSG00000116661.11	60.64
ENSG00000132879.14	58.92
ENSG00000116663.11	59.54
ENSG00000116670.15	63.81
ENSG00000162490.7	53.17
ENSG00000177674.16	56.59
ENSG00000215910.7	62.67
ENSG00000177000.13	57.79
ENSG00000011021.23	52.98
ENSG00000175206.10	56.79
ENSG00000120937.9	56.78
ENSG00000116685.16	61.48
ENSG00000083444.17	56.88
ENSG00000116688.18	51.80
ENSG00000116691.11	63.88
ENSG00000120949.15	61.20
ENSG00000028137.19	59.45
ENSG00000048707.15	45.83
ENSG00000162496.9	55.53
ENSG00000204518.3	49.98
ENSG00000188984.12	48.85
ENSG00000157330.10	48.78
ENSG00000116726.5	49.15
ENSG00000116721.9	48.13
ENSG00000239810.3	50.14
ENSG00000179172.10	47.80
ENSG00000120952.4	50.49
ENSG00000243073.4	49.78
ENSG00000187545.5	52.39
ENSG00000204510.5	54.82
ENSG00000232423.6	51.46
ENSG00000274764.6	49.92
ENSG00000277058.3	44.44
ENSG00000229571.7	50.36
ENSG00000275774.3	48.01
ENSG00000280267.4	50.35
ENSG00000179412.11	43.95
ENSG00000204505.5	48.68
ENSG00000279169.3	48.36
ENSG00000279804.2	49.15
ENSG00000270601.4	51.34
ENSG00000182330.10	53.74
ENSG00000237700.2	52.37
ENSG00000204501.7	50.03
ENSG00000204481.8	47.97
ENSG00000204480.8	52.99
ENSG00000204479.4	50.63
ENSG00000204478.10	52.00
ENSG00000162494.6	60.19
ENSG00000162493.17	48.58
ENSG00000116731.22	45.36
ENSG00000189337.17	55.25
ENSG00000171729.14	56.21
ENSG00000142621.20	50.18
ENSG00000142634.13	61.88
ENSG00000162438.12	54.61
ENSG00000142615.8	56.22
ENSG00000215704.10	56.80
ENSG00000132906.18	53.58
ENSG00000116138.13	44.67
ENSG00000116771.6	50.95
ENSG00000197312.12	42.50
ENSG00000215695.1	42.83
ENSG00000116786.13	62.63
ENSG00000162461.8	59.56
ENSG00000162460.7	65.56
ENSG00000162458.13	58.10
ENSG00000233954.6	46.93
ENSG00000065526.12	51.31
ENSG00000116809.12	63.35
ENSG00000183888.4	52.62
ENSG00000173641.18	60.29
ENSG00000186510.12	59.21
ENSG00000184908.19	58.40
ENSG00000185519.9	66.74
ENSG00000142627.13	60.37
ENSG00000142632.17	61.88
ENSG00000132881.12	62.33
ENSG00000037637.11	45.45
ENSG00000055070.17	54.30
ENSG00000187144.11	55.81
ENSG00000157191.20	49.33
ENSG00000219481.10	45.05
ENSG00000058453.17	64.51
ENSG00000117122.14	60.36
ENSG00000159363.19	63.47
ENSG00000288636.1	60.58
ENSG00000117118.10	46.00
ENSG00000117115.13	52.77
ENSG00000142623.11	56.60
ENSG00000142619.4	56.04
ENSG00000159339.13	55.10
ENSG00000276747.1	55.13
ENSG00000179051.14	54.13
ENSG00000074964.17	60.30
ENSG00000117148.8	56.51
ENSG00000117154.12	58.98
ENSG00000179023.9	58.20
ENSG00000009709.12	54.74
ENSG00000179002.5	58.93
ENSG00000159423.17	59.36
ENSG00000169991.11	56.76
ENSG00000127481.15	49.99
ENSG00000127463.15	46.56
ENSG00000053372.5	54.34
ENSG00000162482.5	60.00
ENSG00000053371.13	59.98
ENSG00000040487.13	61.91
ENSG00000077549.19	52.02
ENSG00000173436.15	48.36
ENSG00000158747.15	62.06
ENSG00000270136.6	53.92
ENSG00000158748.4	64.97
ENSG00000162542.14	55.45
ENSG00000178828.7	58.09
ENSG00000169914.6	44.46
ENSG00000188784.4	58.09
ENSG00000188257.12	54.53
ENSG00000127472.11	49.46
ENSG00000117215.15	54.46
ENSG00000158786.5	58.00
ENSG00000187980.7	52.09
ENSG00000162543.6	46.67
ENSG00000158816.16	55.18
ENSG00000162545.6	53.47
ENSG00000090432.7	56.51
ENSG00000183114.8	67.65
ENSG00000158825.6	56.22
ENSG00000158828.8	54.69
ENSG00000244038.11	53.40
ENSG00000117245.13	63.29
ENSG00000189410.12	61.78
ENSG00000127483.19	41.19
ENSG00000075151.23	43.44
ENSG00000117298.16	59.11
ENSG00000142794.19	48.56
ENSG00000162551.14	58.89
ENSG00000076864.20	61.86
ENSG00000090686.16	40.83
ENSG00000187942.12	62.39
ENSG00000142798.20	63.46
ENSG00000219073.8	55.97
ENSG00000142789.20	58.16
ENSG00000070831.17	42.10
ENSG00000162552.15	58.04
ENSG00000184677.18	50.85
ENSG00000070886.12	63.21
ENSG00000173372.17	61.15
ENSG00000159189.12	60.59
ENSG00000173369.17	57.57
ENSG00000133216.17	55.82
ENSG00000215906.8	68.56
ENSG00000227868.6	49.09
ENSG00000004487.17	46.67
ENSG00000169641.13	49.32
ENSG00000179546.5	50.62
ENSG00000125944.21	35.31
ENSG00000125945.15	46.28
ENSG00000204219.11	52.11
ENSG00000088280.19	56.30
ENSG00000007968.7	56.48
ENSG00000117318.9	56.75
ENSG00000142676.14	48.29
ENSG00000011007.12	49.17
ENSG00000057757.10	49.06
ENSG00000011009.11	61.75
ENSG00000117308.15	61.52
ENSG00000117305.15	51.67
ENSG00000179163.12	48.31
ENSG00000188822.8	47.84
ENSG00000189266.13	39.78
ENSG00000188529.15	36.96
ENSG00000142661.19	54.34
ENSG00000142677.4	57.22
ENSG00000185436.12	54.80
ENSG00000158055.16	51.83
ENSG00000001460.18	49.71
ENSG00000001461.17	46.90
ENSG00000117602.13	42.80
ENSG00000184454.7	47.49
ENSG00000133226.17	41.42
ENSG00000169504.15	36.78
ENSG00000020633.19	59.41
ENSG00000117614.10	43.18
ENSG00000117616.18	47.68
ENSG00000187010.21	48.69
ENSG00000183726.11	43.65
ENSG00000188672.19	52.90
ENSG00000204178.11	43.38
ENSG00000157978.12	56.34
ENSG00000117643.15	54.71
ENSG00000162430.18	59.64
ENSG00000255054.3	58.21
ENSG00000117640.18	52.56
ENSG00000127423.11	47.47
ENSG00000182749.6	54.56
ENSG00000117632.23	45.86
ENSG00000158006.14	48.06
ENSG00000158008.10	62.35
ENSG00000158014.15	58.91
ENSG00000158022.7	52.60
ENSG00000175087.10	39.12
ENSG00000197245.6	60.02
ENSG00000282872.2	60.18
ENSG00000236782.7	61.60
ENSG00000142684.9	62.16
ENSG00000142675.18	57.85
ENSG00000188782.9	55.32
ENSG00000130695.16	49.93
ENSG00000142669.15	59.82
ENSG00000158062.20	59.67
ENSG00000169442.9	52.36
ENSG00000176092.17	61.93
ENSG00000176083.18	58.72
ENSG00000131914.11	48.40
ENSG00000117682.17	49.98
ENSG00000198830.11	43.65
ENSG00000117676.14	57.58
ENSG00000117713.20	52.32
ENSG00000060642.11	49.57
ENSG00000204160.12	58.46
ENSG00000175793.12	62.77
ENSG00000142751.15	50.12
ENSG00000198746.13	57.68
ENSG00000090273.14	54.99
ENSG00000131910.5	59.31
ENSG00000175707.9	60.27
ENSG00000253368.4	60.84
ENSG00000158246.8	62.55
ENSG00000090020.11	57.84
ENSG00000142784.16	56.50
ENSG00000186501.15	58.15
ENSG00000142765.18	61.48
ENSG00000142733.17	62.55
ENSG00000142748.13	57.91
ENSG00000174950.11	60.43
ENSG00000181773.7	56.53
ENSG00000158195.11	53.32
ENSG00000126705.15	62.88
ENSG00000000938.13	57.07
ENSG00000126709.16	56.30
ENSG00000009780.16	41.55
ENSG00000117758.14	39.86
ENSG00000117751.18	49.31
ENSG00000130775.16	55.77
ENSG00000117748.10	49.77
ENSG00000130768.15	55.43
ENSG00000158156.9	55.77
ENSG00000158161.16	45.72
ENSG00000169403.12	53.11
ENSG00000126698.11	42.36
ENSG00000130770.18	48.18
ENSG00000130766.5	59.56
ENSG00000130772.14	48.98
ENSG00000204138.13	46.90
ENSG00000180198.17	53.60
ENSG00000180098.9	48.53
ENSG00000120656.13	48.31
ENSG00000188060.8	57.24
ENSG00000162419.13	46.39
ENSG00000198492.16	50.34
ENSG00000116329.11	54.70
ENSG00000159023.22	43.97
ENSG00000253304.2	59.71
ENSG00000116350.17	41.35
ENSG00000116353.16	51.88
ENSG00000060656.20	61.69
ENSG00000162510.6	55.93
ENSG00000162511.8	53.41
ENSG00000162512.16	59.89
ENSG00000134644.16	47.24
ENSG00000084628.10	58.73
ENSG00000060688.13	42.63
ENSG00000121766.16	48.46
ENSG00000121769.8	49.36
ENSG00000168528.12	60.25
ENSG00000142910.16	59.31
ENSG00000121764.11	60.83
ENSG00000162517.13	54.97
ENSG00000084636.18	60.63
ENSG00000121753.13	64.21
ENSG00000134668.12	57.90
ENSG00000184007.22	44.19
ENSG00000288678.1	53.03
ENSG00000121774.18	46.84
ENSG00000121775.18	55.18
ENSG00000025800.14	47.59
ENSG00000084652.16	53.87
ENSG00000160050.16	53.37
ENSG00000160051.12	54.81
ENSG00000222046.3	57.54
ENSG00000160055.20	56.15
ENSG00000084623.12	50.50
ENSG00000183615.6	63.15
ENSG00000182866.17	57.98
ENSG00000116478.12	50.55
ENSG00000175130.7	58.09
ENSG00000162526.7	54.79
ENSG00000225828.1	60.35
ENSG00000160058.19	52.02
ENSG00000254553.1	48.53
ENSG00000273274.2	43.38
ENSG00000160062.15	40.71
ENSG00000176261.16	43.30
ENSG00000162521.19	42.58
ENSG00000162520.15	46.91
ENSG00000162522.11	62.09
ENSG00000134684.12	47.64
ENSG00000116497.18	41.55
ENSG00000160097.20	55.74
ENSG00000121905.10	60.29
ENSG00000121900.19	63.51
ENSG00000116514.17	55.96
ENSG00000004455.17	44.82
ENSG00000142920.17	53.16
ENSG00000116525.14	60.01
ENSG00000160094.15	58.87
ENSG00000184389.9	66.67
ENSG00000134686.19	59.80
ENSG00000121903.15	48.80
ENSG00000121904.18	53.65
ENSG00000176256.11	44.94
ENSG00000142698.15	57.35
ENSG00000163866.9	48.20
ENSG00000189280.3	56.75
ENSG00000189433.7	57.13
ENSG00000188910.8	61.81
ENSG00000187513.9	60.78
ENSG00000116544.12	67.71
ENSG00000284773.1	52.48
ENSG00000271741.1	42.72
ENSG00000243749.1	46.53
ENSG00000163867.17	38.18
ENSG00000197056.11	37.66
ENSG00000116560.11	43.93
ENSG00000146463.12	41.19
ENSG00000142687.18	51.11
ENSG00000020129.16	61.22
ENSG00000116819.9	59.15
ENSG00000126067.12	44.08
ENSG00000142686.8	53.53
ENSG00000092853.14	44.05
ENSG00000134698.11	44.70
ENSG00000092847.13	46.59
ENSG00000126070.20	39.08
ENSG00000092850.12	59.52
ENSG00000116863.11	58.75
ENSG00000171812.13	61.66
ENSG00000054116.12	52.03
ENSG00000116871.16	63.82
ENSG00000054118.15	47.52
ENSG00000214193.11	61.35
ENSG00000142694.7	67.95
ENSG00000196182.11	58.92
ENSG00000181817.6	58.10
ENSG00000116885.18	47.63
ENSG00000116898.12	48.20
ENSG00000119535.18	55.30
ENSG00000163873.10	55.49
ENSG00000163874.11	61.60
ENSG00000163875.16	44.79
ENSG00000163877.11	44.18
ENSG00000163879.11	48.27
ENSG00000134697.13	43.50
ENSG00000169218.14	56.02
ENSG00000116922.15	47.49
ENSG00000134690.11	51.25
ENSG00000183317.17	58.92
ENSG00000185090.15	60.38
ENSG00000196449.4	52.98
ENSG00000197982.14	64.14
ENSG00000188786.10	46.61
ENSG00000204084.13	49.40
ENSG00000183431.12	45.10
ENSG00000183386.10	59.73
ENSG00000183520.12	41.85
ENSG00000185668.8	63.14
ENSG00000116954.8	42.51
ENSG00000214114.9	42.19
ENSG00000274944.4	41.83
ENSG00000131233.10	40.71
ENSG00000158315.11	48.02
ENSG00000174574.16	44.68
ENSG00000168653.11	48.54
ENSG00000127603.31	46.66
ENSG00000183682.8	57.45
ENSG00000090621.15	48.46
ENSG00000163909.8	55.95
ENSG00000116981.4	50.69
ENSG00000116983.13	49.81
ENSG00000084072.17	47.10
ENSG00000116985.12	56.07
ENSG00000198754.5	63.36
ENSG00000043514.17	42.92
ENSG00000116990.11	55.11
ENSG00000168389.18	54.03
ENSG00000131236.18	49.95
ENSG00000131238.18	46.50
ENSG00000117000.9	39.78
ENSG00000188800.6	42.43
ENSG00000084073.10	40.45
ENSG00000049089.15	63.63
ENSG00000084070.12	50.99
ENSG00000187801.15	44.58
ENSG00000187815.10	45.26
ENSG00000164002.12	50.97
ENSG00000117010.17	40.34
ENSG00000117016.10	54.99
ENSG00000066136.20	51.55
ENSG00000117013.17	63.43
ENSG00000179862.7	73.51
ENSG00000171793.16	45.68
ENSG00000171790.15	57.70
ENSG00000010803.16	50.96
ENSG00000204060.7	70.60
ENSG00000127129.10	58.64
ENSG00000127124.16	55.32
ENSG00000284895.1	48.15
ENSG00000044012.4	62.91
ENSG00000197273.4	59.13
ENSG00000198815.9	42.43
ENSG00000177181.15	46.37
ENSG00000066185.13	47.23
ENSG00000127125.9	46.25
ENSG00000186409.18	41.55
ENSG00000171960.12	46.89
ENSG00000065978.19	50.54
ENSG00000164007.11	60.02
ENSG00000117385.16	52.36
ENSG00000164008.16	46.01
ENSG00000283580.3	53.29
ENSG00000274386.5	46.17
ENSG00000177868.12	47.97
ENSG00000164010.15	47.64
ENSG00000164011.18	51.67
ENSG00000117394.24	53.61
ENSG00000186973.11	52.55
ENSG00000117395.13	46.98
ENSG00000243710.8	47.13
ENSG00000179178.11	60.57
ENSG00000253313.6	53.88
ENSG00000066056.14	58.00
ENSG00000117400.18	53.37
ENSG00000117399.14	57.55
ENSG00000066322.15	58.54
ENSG00000159479.17	47.74
ENSG00000198198.17	54.22
ENSG00000178922.18	59.26
ENSG00000142949.17	58.71
ENSG00000066135.13	50.68
ENSG00000284989.1	53.11
ENSG00000126091.21	48.88
ENSG00000117407.17	65.60
ENSG00000117408.11	57.87
ENSG00000132768.14	55.90
ENSG00000117410.14	56.19
ENSG00000117411.18	59.06
ENSG00000159214.13	60.20
ENSG00000196517.13	61.69
ENSG00000171872.5	50.92
ENSG00000283039.1	54.35
ENSG00000178028.14	51.46
ENSG00000117419.16	56.16
ENSG00000187147.18	54.22
ENSG00000126106.14	54.87
ENSG00000198520.12	57.51
ENSG00000142945.13	51.34
ENSG00000142937.12	55.34
ENSG00000142959.5	58.16
ENSG00000173846.13	60.14
ENSG00000188396.4	63.76
ENSG00000222009.8	56.85
ENSG00000117425.14	60.27
ENSG00000070785.17	47.14
ENSG00000126107.15	56.68
ENSG00000126088.14	53.64
ENSG00000162415.7	53.29
ENSG00000186603.7	60.30
ENSG00000132781.20	55.12
ENSG00000288208.1	57.37
ENSG00000132773.12	54.45
ENSG00000070759.17	51.43
ENSG00000280670.3	51.07
ENSG00000132763.15	47.83
ENSG00000117450.15	51.61
ENSG00000117448.14	54.31
ENSG00000132780.17	44.77
ENSG00000159588.15	58.59
ENSG00000159592.11	42.43
ENSG00000159596.7	41.84
ENSG00000197429.11	41.37
ENSG00000086015.22	55.94
ENSG00000117461.15	46.51
ENSG00000278139.1	45.78
ENSG00000117472.10	53.46
ENSG00000250719.2	57.28
ENSG00000085998.14	55.23
ENSG00000171357.6	54.08
ENSG00000085999.13	53.60
ENSG00000132128.17	49.51
ENSG00000173660.12	47.13
ENSG00000117481.11	49.40
ENSG00000117480.16	61.34
ENSG00000197587.11	55.90
ENSG00000282881.2	65.52
ENSG00000162456.10	55.81
ENSG00000079277.22	49.26
ENSG00000142961.15	55.41
ENSG00000123472.12	44.79
ENSG00000186118.9	53.07
ENSG00000159658.15	41.25
ENSG00000142973.14	51.99
ENSG00000187048.13	49.33
ENSG00000186377.8	45.85
ENSG00000186160.5	43.92
ENSG00000162365.12	49.31
ENSG00000162366.8	58.81
ENSG00000162367.11	53.49
ENSG00000123473.17	42.21
ENSG00000162368.14	36.77
ENSG00000186790.6	68.67
ENSG00000186564.6	65.48
ENSG00000269113.4	56.46
ENSG00000117834.13	53.58
ENSG00000132122.12	38.35
ENSG00000186094.17	46.26
ENSG00000162373.13	53.13
ENSG00000162374.18	40.48
ENSG00000142700.12	64.20
ENSG00000185104.20	45.20
ENSG00000123080.12	57.62
ENSG00000204006.10	35.87
ENSG00000123091.5	41.39
ENSG00000085831.16	54.46
ENSG00000085832.17	36.66
ENSG00000117859.19	42.40
ENSG00000078618.22	42.94
ENSG00000169213.7	44.69
ENSG00000117862.13	48.36
ENSG00000285839.1	47.53
ENSG00000198841.4	55.33
ENSG00000134717.18	37.37
ENSG00000157077.16	43.81
ENSG00000154222.15	53.23
ENSG00000085840.13	50.66
ENSG00000134748.13	40.18
ENSG00000134744.14	38.98
ENSG00000116157.6	51.00
ENSG00000182183.15	55.63
ENSG00000162377.6	46.31
ENSG00000162378.13	39.91
ENSG00000203995.10	46.72
ENSG00000121310.17	48.87
ENSG00000116171.19	41.83
ENSG00000174348.14	58.24
ENSG00000162383.13	59.06
ENSG00000157184.7	43.36
ENSG00000162384.14	47.74
ENSG00000162385.11	39.55
ENSG00000157193.18	49.74
ENSG00000143006.7	60.20
ENSG00000174332.5	63.83
ENSG00000058804.12	39.85
ENSG00000058799.15	47.84
ENSG00000211452.11	47.37
ENSG00000081870.12	37.82
ENSG00000116212.15	47.32
ENSG00000203985.11	51.98
ENSG00000116209.12	39.97
ENSG00000116205.14	45.87
ENSG00000256407.2	55.59
ENSG00000157211.11	56.86
ENSG00000215883.11	49.97
ENSG00000116221.15	52.84
ENSG00000157216.16	53.57
ENSG00000162390.18	51.81
ENSG00000162391.12	59.62
ENSG00000184313.20	54.82
ENSG00000271723.5	54.19
ENSG00000243725.7	50.32
ENSG00000162396.6	54.03
ENSG00000006555.11	56.95
ENSG00000162398.12	54.87
ENSG00000116133.13	54.52
ENSG00000143001.5	65.68
ENSG00000162399.9	52.67
ENSG00000169174.11	59.38
ENSG00000162402.14	43.83
ENSG00000284686.1	39.89
ENSG00000162407.9	46.93
ENSG00000162409.11	35.21
ENSG00000187889.13	39.82
ENSG00000157131.11	46.47
ENSG00000021852.13	46.52
ENSG00000173406.16	43.46
ENSG00000162600.12	42.17
ENSG00000184292.7	58.19
ENSG00000162601.11	37.29
ENSG00000177606.8	54.99
ENSG00000172456.18	42.57
ENSG00000134709.12	37.12
ENSG00000134716.11	43.46
ENSG00000162598.13	43.78
ENSG00000162599.17	37.31
ENSG00000162604.12	39.34
ENSG00000132849.21	43.11
ENSG00000240563.2	40.38
ENSG00000132854.19	53.14
ENSG00000162607.13	39.75
ENSG00000116641.18	36.87
ENSG00000132855.5	30.91
ENSG00000125703.15	34.44
ENSG00000187140.6	66.16
ENSG00000088035.18	37.73
ENSG00000142856.17	37.83
ENSG00000203965.13	35.26
ENSG00000079739.17	50.45
ENSG00000185483.12	44.08
ENSG00000177414.14	40.61
ENSG00000158966.16	48.82
ENSG00000162437.14	39.98
ENSG00000162434.13	48.09
ENSG00000162433.15	44.55
ENSG00000116675.16	43.99
ENSG00000213625.9	40.44
ENSG00000116678.20	35.98
ENSG00000184588.18	42.87
ENSG00000118473.23	37.72
ENSG00000152760.10	36.55
ENSG00000172410.5	41.71
ENSG00000152763.17	38.00
ENSG00000198160.15	35.74
ENSG00000116704.8	41.84
ENSG00000203963.12	34.35
ENSG00000162594.16	40.59
ENSG00000081985.13	48.43
ENSG00000142864.15	38.01
ENSG00000116717.13	57.77
ENSG00000172380.6	37.56
ENSG00000162595.7	47.88
ENSG00000116729.14	46.94
ENSG00000116745.7	38.04
ENSG00000024526.17	35.01
ENSG00000033122.21	38.79
ENSG00000066557.6	34.68
ENSG00000116754.13	37.19
ENSG00000118454.13	38.07
ENSG00000116761.12	43.16
ENSG00000050628.20	38.21
ENSG00000132485.14	33.84
ENSG00000172260.15	36.94
ENSG00000162620.16	31.12
ENSG00000259030.8	37.34
ENSG00000254685.8	35.22
ENSG00000116783.15	40.29
ENSG00000162621.7	40.29
ENSG00000178965.14	43.81
ENSG00000116791.14	39.00
ENSG00000162623.16	38.04
ENSG00000162624.15	43.68
ENSG00000137968.16	37.16
ENSG00000117054.15	40.47
ENSG00000137955.16	36.88
ENSG00000057468.7	37.03
ENSG00000154007.7	36.57
ENSG00000184005.11	36.62
ENSG00000117069.15	42.96
ENSG00000142892.15	34.37
ENSG00000154027.19	43.81
ENSG00000036549.13	38.30
ENSG00000077254.14	37.92
ENSG00000180488.15	37.81
ENSG00000162614.19	38.07
ENSG00000162613.17	35.80
ENSG00000162616.9	37.41
ENSG00000137960.6	37.91
ENSG00000122420.10	37.77
ENSG00000137959.17	34.81
ENSG00000137965.11	38.17
ENSG00000162618.15	37.06
ENSG00000117114.20	35.39
ENSG00000137941.17	36.56
ENSG00000142875.19	35.79
ENSG00000203943.9	39.41
ENSG00000137976.8	42.78
ENSG00000117133.11	38.38
ENSG00000174021.11	51.68
ENSG00000122432.18	35.23
ENSG00000117151.13	33.62
ENSG00000117155.17	37.36
ENSG00000171517.6	44.54
ENSG00000153898.13	43.11
ENSG00000162643.13	41.42
ENSG00000055732.13	40.84
ENSG00000097096.9	40.02
ENSG00000162642.14	39.88
ENSG00000142867.14	40.66
ENSG00000153904.21	44.12
ENSG00000142871.18	48.51
ENSG00000117174.11	38.16
ENSG00000171502.15	48.34
ENSG00000122417.15	34.35
ENSG00000137975.8	40.13
ENSG00000016490.16	43.29
ENSG00000016602.9	37.86
ENSG00000097033.14	39.12
ENSG00000183291.17	39.66
ENSG00000153936.17	37.65
ENSG00000267561.2	40.64
ENSG00000143013.13	42.59
ENSG00000065243.20	37.03
ENSG00000137947.12	39.62
ENSG00000137944.18	41.30
ENSG00000213516.10	42.13
ENSG00000117226.12	40.87
ENSG00000117228.11	40.34
ENSG00000162645.13	40.54
ENSG00000213512.3	43.09
ENSG00000162654.9	41.72
ENSG00000154451.14	40.76
ENSG00000183347.15	43.05
ENSG00000197147.15	39.06
ENSG00000288629.1	41.27
ENSG00000171488.15	41.32
ENSG00000271949.1	58.26
ENSG00000171492.14	45.12
ENSG00000162664.17	35.78
ENSG00000143032.8	54.84
ENSG00000122482.21	37.99
ENSG00000162669.16	35.76
ENSG00000097046.13	41.12
ENSG00000069702.11	43.16
ENSG00000137948.19	41.90
ENSG00000172031.7	42.31
ENSG00000230667.6	41.14
ENSG00000189195.15	37.16
ENSG00000203910.9	38.21
ENSG00000174842.17	34.05
ENSG00000122484.9	40.83
ENSG00000162676.12	51.65
ENSG00000067208.15	38.48
ENSG00000122406.14	39.84
ENSG00000154511.12	39.53
ENSG00000143033.18	37.04
ENSG00000117500.13	36.60
ENSG00000122483.17	40.30
ENSG00000117505.13	37.60
ENSG00000137942.18	38.39
ENSG00000137936.18	53.20
ENSG00000067334.14	40.77
ENSG00000023909.10	38.63
ENSG00000198691.13	52.64
ENSG00000137962.13	36.84
ENSG00000117528.14	37.98
ENSG00000117525.14	43.35
ENSG00000143036.17	45.94
ENSG00000117519.16	45.74
ENSG00000172339.10	42.18
ENSG00000152078.10	37.09
ENSG00000271092.5	38.96
ENSG00000122481.17	39.28
ENSG00000117569.19	34.83
ENSG00000188641.14	39.49
ENSG00000162627.17	42.62
ENSG00000117598.13	40.05
ENSG00000117600.14	41.86
ENSG00000099260.11	40.24
ENSG00000156869.14	40.35
ENSG00000162688.17	36.89
ENSG00000117620.15	37.41
ENSG00000283761.1	40.75
ENSG00000156875.14	39.42
ENSG00000156876.10	34.87
ENSG00000122435.10	33.19
ENSG00000122477.13	36.14
ENSG00000137992.15	39.26
ENSG00000137996.13	44.55
ENSG00000079335.20	41.46
ENSG00000181656.7	52.21
ENSG00000162692.12	38.42
ENSG00000162694.14	38.88
ENSG00000162695.12	36.26
ENSG00000117543.21	43.97
ENSG00000170989.10	44.96
ENSG00000118733.17	37.88
ENSG00000060718.22	45.23
ENSG00000185946.16	36.26
ENSG00000240038.7	40.26
ENSG00000243480.8	40.78
ENSG00000237763.10	40.84
ENSG00000174876.17	41.82
